Bairro,Endereco,Quartos,Tipo,Preco,Distancia do aeroporto,CEP,Banheiro,Vagas,Area terreno,Area construida,Ano da construcao,Latitude,Longitude
West Footscray,15 Glamis Rd,2,casa,,8.2,3012,1,3,385,,,-37806,144.8745
Coburg,25a Ohea St,3,casa,835000,7.8,3058,1,2,385,,,-37.7376,144.9638
Coburg,6 Stawell St,3,casa,935500,7.8,3058,1,2,386,,,-37.7364,144.96
Toorak,232 Williams Rd,3,casa,1635000,4.6,3142,1,2,386,,,-37.8435,145.0043
Ascot Vale,15 Bayview Tce,2,casa,1150000,5.9,3032,1,1,387,,,-37.7734,144.9191
Surrey Hills,706 Canterbury Rd,2,casa,680000,11.2,3127,1,1,387,,,-37.8269,145.1039
Camberwell,2/1 Glen Iris Rd,3,apartamento,1615000,7.8,3124,1,2,389,,,-37.8435,145.0695
Strathmore,9 Bruce St,4,casa,920000,9.7,3041,1,1,390,,,-37.7413,144.9163
Coburg,21A Vincent St,3,casa,985000,7.8,3058,1,2,391,,,-37.74181,144.9562
Moonee Ponds,36 Primrose St,3,casa,1065000,6.9,3039,1,1,395,,,-37.7593,144.9276
Brighton East,6 Egan St,3,casa,,10.7,3187,1,1,395,,,-37.9077,145.0235
Preston,192 Murray Rd,3,casa,821000,8.8,3072,1,2,396,,,-37.7385,145.0103
Heidelberg West,134 Outhwaite Rd,3,casa,,9.4,3081,1,1,396,,,-37.7387,145045
Coburg,17 Fischer St,3,casa,,7.8,3058,1,2,398,,,-37.73505,144.95366
Preston,25 Pender St,3,casa,842000,8.8,3072,1,1,398,,,-37.7372,145.01
Ascot Vale,70 Bloomfield Rd,4,casa,,5.9,3032,1,2,398,,,-37.7761,144.9166
Coburg,99 Rose St,3,casa,790000,7.8,3058,1,1,399,,,-37.74081,144.94738
St Kilda,1/155 Fitzroy St,1,kitnet,360000,6.1,3182,1,1,400,,,-37859,144.9792
Camberwell,64A Christowel St,2,casa,1470000,7.8,3124,1,2,400,,,-37.8393,145.0662
Northcote,48 Barry St,3,casa,1676000,5.5,3070,1,2,401,,,-37.7801,144.9954
Brunswick,82 Rose St,3,casa,,5.2,3056,1,1,402,,,-37.7554,144.9529
Caulfield South,18b Marara Rd,2,casa,1115000,9.3,3162,1,1,402,,,-37.8967,145.0313
Newport,69 William St,3,casa,,8.4,3015,1,2,403,,,-37.8378,144.8795
Coburg,3 Phillips St,3,casa,1030000,7.8,3058,1,1,404,,,-37.7504,144.9537
Preston,97 Murray Rd,3,casa,550000,8.8,3072,1,1,405,,,-37.7396,145.0175
Preston,47 Youngman St,2,casa,800000,8.8,3072,1,1,405,,,-37.74892,
West Footscray,135 Suffolk St,3,casa,709000,8.2,3012,1,1,405,,,-37.79,144867
Toorak,3 Ruabon Rd,3,casa,1170000,4.6,3142,1,1,405,,,-37.8475,145008
Brunswick East,87 Hickford St,3,casa,1350000,4.5,3057,1,2,407,,,-37.7663,144.9795
Ascot Vale,75 Munro St,2,casa,925000,5.9,3032,1,1,407,,,-37.7756,144.9105
Thornbury,104 Mansfield St,3,casa,1080000,6.5,3071,1,1,408,,,-37.75551,145.01175
Brunswick,11 Garnet St,3,casa,1440000,5.2,3056,1,1,408,,,-37.75869,144.95288
Pascoe Vale,17 Kaumple St,3,casa,,9.9,3044,1,1,409,,,-37.7257,144944
Preston,19 Railway Pl,3,casa,750000,8.8,3072,1,2,409,,,-37.7486,144.9992
Thornbury,33 Wales St,3,casa,1245000,6.5,3071,1,1,409,,,-37.7633,145.0087
Brunswick,2 Sheffield St,3,casa,990000,5.2,3056,1,2,410,,,-37.7604,144.9514
Thornbury,48 Leinster Gr,3,casa,920000,6.5,3071,1,2,410,,,-37.7604,144.9877
Brunswick West,102 Melville Rd,2,casa,900000,5.9,3055,1,1,410,,,-37.7613,144.9446
Footscray,13 Lynch St,4,casa,1290000,6.4,3011,1,2,411,,,-37.7969,144.9049
Coburg,11 Kerferd St,2,casa,941000,7.8,3058,1,2,413,,,-37.73553,144.95448
Footscray,11 Commercial Rd,3,casa,930000,6.4,3011,1,3,413,,,-37.7931,144893
Essendon,95 Bradshaw St,2,casa,953000,8,3040,1,1,414,,,-37.7466,144.8941
Ascot Vale,45 Bloomfield Rd,3,casa,1291000,5.9,3032,1,2,414,,,-37.7766,144.9185
Box Hill,32 Sweetland Rd,3,casa,910000,13.1,3128,1,2,414,,,-37.82472,145.13592
Surrey Hills,14 Park Rd,3,casa,1135000,11.2,3127,1,2,414,,,-37.8365,145.11
Coburg,41 Linda St,3,casa,995000,7.8,3058,1,1,415,,,-37.75089,144.95912
Brunswick,4 Bryant St,4,casa,820000,5.2,3056,1,0,416,,,-37763,144.9598
Viewbank,5/367 Lower Plenty Rd,3,kitnet,440000,13.8,3084,1,1,416,,,-37.7321,145.0828
Coburg,34 Alice St,4,casa,,7.8,3058,1,1,416,,,-37.7414,144.9576
Brunswick,190 Barkly St,4,casa,1358000,5.2,3056,1,1,416,,,-37.7769,144.9661
Kensington,61 Bangalore St,3,casa,1291000,4.2,3031,1,1,416,,,-37.7946,144924
Moorabbin,446 South Rd,3,casa,,14.6,3189,1,2,416,,,-37.9347,145.0466
Northcote,27 Westgarth St,4,casa,,5.5,3070,1,0,417,,,-37.7807,144.9947
Coburg,114 The Avenue,3,casa,,7.8,3058,1,1,419,,,-37.7532,144.9729
Pascoe Vale,251 Gaffney St,4,casa,820000,9.9,3044,1,1,420,,,-37.7326,144.9475
Essendon,53A Market St,3,casa,1050000,8,3040,1,1,420,,,-37.7441,144.9041
Coburg,20 Edna Gr,2,casa,,7.8,3058,1,1,420,,,-37.7453,144.9798
Brighton East,39 Ferguson St,3,casa,1100000,10.7,3187,1,1,420,,,-37.9108,145.0121
Bulleen,1/7 Westwood Dr,3,kitnet,812500,11.8,3105,1,1,421,,,-37.7798,145.1023
Heidelberg West,18 Achilles St,2,casa,415000,9.4,3081,1,1,422,,,-37.7343,145044
Sunshine,74 Benjamin St,3,casa,794000,12.6,3020,1,0,426,,,-37793,144.8283
Coburg North,53 Ronald St,3,casa,735000,9.2,3058,1,1,427,,,-37.7303,144.9773
Moonee Ponds,2 Addison St,3,casa,1370000,6.9,3039,1,2,427,,,-37.7702,144.9266
Sunshine,165 Morris St,3,casa,591500,12.6,3020,1,2,427,,,-37.7925,144.8282
Pascoe Vale,58 Cumberland Rd,2,casa,720000,9.9,3044,1,1,428,,,-37.7333,144.9384
Heidelberg Heights,23 Dougharty Rd,2,casa,570000,10.5,3081,1,3,428,,,-37.7355,145.0573
Moonee Ponds,79 Ormond Rd,2,casa,940000,6.9,3039,1,2,428,,,-37.76752,144.91201
Oakleigh South,10a Farm Rd,2,casa,580000,14.7,3167,1,2,428,,,-37.9249,145.0943
Essendon,15 Wright St,3,casa,1045000,8,3040,1,1,429,,,-37.7453,144.9183
Camberwell,10 Wilson Gr,2,casa,1402000,7.8,3124,1,0,429,,,-37.84501,145.07101
Keilor Park,49a Spence St,3,kitnet,616000,14.5,3042,1,2,431,,,-37.68696,
Thornbury,138 Raleigh St,2,casa,1143000,6.5,3071,1,2,431,,,-37.7598,145.0088
Brighton,868 Hampton St,3,casa,1502000,11.2,3186,1,1,431,,,-37.91068,145.00773
Hawthorn East,742 Burwood Rd,2,casa,1550000,7.5,3123,1,2,432,,,-37.8249,145.0532
Heidelberg Heights,18 Francis St,2,casa,780000,10.5,3081,1,1,433,,,-37.75213,145.05063
West Footscray,7 Church St,3,casa,915000,8.2,3012,1,2,434,,,-37.7908,144.8793
Sunshine,20 Servante St,3,casa,735000,12.6,3020,1,3,435,,,-37.7877,144838
Hawthorn,29 Connell St,3,casa,,4.6,3122,1,2,435,,,-37.8183,145.0242
Spotswood,14A Kernot St,3,casa,775000,7.7,3015,1,1,435,,,-37.8279,144873
Essendon,11 Raleigh St,3,casa,770000,8,3040,1,0,438,,,-37754,144926
Brunswick,391 Brunswick Rd,3,casa,1135000,5.2,3056,1,1,438,,,-37.7758,144.9508
Sunshine,146 Cornwall Rd,3,casa,590000,12.6,3020,1,1,438,,,-37.7804,144.8425
West Melbourne,44 Miller St,4,casa,2100000,1.9,3003,1,0,440,,,-37.8056,144.9463
Yarraville,34 Wilkins St,3,casa,931000,7,3013,1,1,442,,,-37.8182,144.8727
South Yarra,61 Osborne St,3,casa,2395000,3.3,3141,1,2,442,,,-37.8432,144.9906
Caulfield North,330 Balaclava Rd,4,casa,1300000,8.1,3161,1,1,443,,,-37.87377,145.0349
Brighton East,26 Hodder St,2,casa,1250000,10.7,3187,1,2,443,,,-37.9077,145.0229
Yarraville,280 Francis St,3,casa,850000,7,3013,1,1,444,,,-37.8193,144.8753
Essendon,33 Bradshaw St,3,casa,980000,8,3040,1,1,445,,,-37.7505,144.8934
Yarraville,342 Francis St,3,casa,681000,7,3013,1,1,446,,,-37.8183,144.8666
Coburg,8 Rolls St,3,casa,,7.8,3058,1,3,447,,,-37.7501,144.9685
Thornbury,10 Speight St,3,casa,1200000,6.5,3071,1,1,447,,,-37.76376,145.00895
Williamstown,2/170 Cecil St,2,casa,1000000,8,3016,1,2,447,,,-37.86509,144.89498
Newport,71 Hobson St,3,casa,988000,8.4,3015,1,1,450,,,-37.84,144887
Yarraville,15 Freame St,2,casa,1196000,7,3013,1,2,451,,,-37.81673,144.88271
Newport,20 Bruce St,2,casa,762000,8.4,3015,1,2,451,,,-37.8349,144.8714
Armadale,19 Sutherland Rd,3,casa,,6.3,3143,1,2,451,,,-37.8593,145.0167
Reservoir,129 Spring St,2,casa,623500,11.2,3073,1,0,452,,,-37.7271,145.0009
Preston,7 Hope St,3,casa,930000,8.8,3072,1,0,453,,,-37.7386,144.9828
Fairfield,48 Gordon St,3,casa,1510000,5.8,3078,1,1,453,,,-37.7772,145.0232
Preston,9 Graham Ct,3,casa,890000,8.8,3072,1,2,454,,,-37.7346,144.9956
Moonee Ponds,121 Vine St,2,casa,1302500,6.9,3039,1,2,455,,,-37.76109,144.91836
Northcote,142 Separation St,2,casa,,5.5,3070,1,1,455,,,-37.7703,145.0059
Reservoir,9 Howard St,3,casa,780000,11.2,3073,1,2,457,,,-37.7199,145.0155
Sunshine,18 Tyler St,2,casa,710000,12.6,3020,1,0,457,,,-37.7878,144.8369
Williamstown,17 Station Rd,4,casa,1085000,8,3016,1,2,458,,,-37.8571,144.8915
Coburg,38 Soudan St,3,casa,835000,7.8,3058,1,1,459,,,-37.7388,144.9529
Moonee Ponds,13 Ophir St,2,casa,1350000,6.9,3039,1,1,459,,,-37.75947,144.90605
Ivanhoe,69 Ford St,3,casa,970000,7.9,3079,1,4,459,,,-37.76385,
Kensington,55 Epsom Rd,3,casa,1335000,4.2,3031,1,3,459,,,-37.7917,144.9251
Spotswood,13 Abbott St,3,casa,835000,7.7,3015,1,3,459,,,-37.8255,144.8709
Newport,2 Maddox Rd,3,casa,828000,8.4,3015,1,2,459,,,-37.83578,144.87161
Preston,90 Murray Rd,2,casa,799900,8.8,3072,1,2,460,,,-37.7397,145.0209
Hawthorn,36 College St,2,casa,2265000,4.6,3122,1,1,460,,,-37.8173,145.0248
West Footscray,14 Ashley St,4,casa,,8.2,3012,1,2,461,,,-37.81094,144.87145
Carnegie,63 Oakleigh Rd,3,casa,1170000,11.4,3163,1,2,461,,,-37.8988,145.0516
Brighton,3/22 Burrows St,3,apartamento,,11.2,3186,1,2,462,,,-37.9184,144.9952
Preston,28 Tynan St,3,casa,1000000,8.8,3072,1,2,463,,,-37.7339,144.9897
Yarraville,4 Bena St,3,casa,980000,7,3013,1,2,463,,,-37.8185,144.8812
Elwood,31 Goldsmith St,3,casa,2116000,7.7,3184,1,2,463,,,-37.8787,144985
Coburg,5 Donne St,3,casa,1090000,7.8,3058,1,1,464,,,-37753,144.9485
Pascoe Vale,30 Stennis St,3,casa,770000,9.9,3044,1,0,464,,,-37.7301,144.9487
Essendon,38 Vanberg Rd,3,casa,980000,8,3040,1,1,464,,,-37.7545,144.9332
Brunswick East,139 Donald St,3,casa,,4.5,3057,1,3,464,,,-37.7589,144.9768
Balwyn North,21 Maud St,3,casa,1300000,9.2,3104,1,2,464,,,-37.7945,145.0667
Glen Iris,2 Bell St,3,casa,1310000,9.2,3146,1,2,464,,,-37.8539,145.0702
Preston,2 Bruce St,2,casa,2000000,8.8,3072,1,2,465,,,-37.73603,145.00306
Preston,2 Bruce St,2,casa,2300000,8.8,3072,1,2,465,,,-37.74517,145.0275
Brunswick West,28 Cadman St,3,casa,1060000,5.9,3055,1,2,465,,,-37.75722,144.94862
Sunshine North,19 Plymouth Cl,3,casa,600000,13.3,3020,1,2,465,,,-37.77433,144.8428
Sunshine,88 Monash St,2,casa,720000,12.6,3020,1,2,465,,,-37.7889,144.8362
West Footscray,6 Fontein St,5,casa,691000,8.2,3012,1,1,466,,,-37.8008,144.8665
Reservoir,11 Carrington Rd,3,casa,665000,11.2,3073,1,1,467,,,-37.7219,144.9892
Preston,25 Watson St,3,casa,715000,8.8,3072,1,1,467,,,-37.7444,145014
Thornbury,296 Gooch St,2,casa,740000,6.5,3071,1,2,467,,,-37.7606,145.0241
Balwyn North,23 Maud St,2,casa,1350000,9.2,3104,1,2,467,,,-37.7945,145067
Heidelberg West,62 Ramu Pde,3,casa,330000,9.4,3081,1,1,468,,,-37.7357,145.0413
Preston,37 Kendall St,3,casa,930000,8.8,3072,1,2,468,,,-37.7468,144.9846
Preston,4 Stott St,3,casa,805000,8.8,3072,1,2,468,,,-37.7479,144.9941
Sunshine,158 Morris St,3,casa,580000,12.6,3020,1,1,469,,,-37.7923,144.8289
Yarraville,33 Bromyard St,2,casa,1035000,7,3013,1,3,469,,,-37.81278,144.87027
Pascoe Vale,344 Gaffney St,3,casa,810000,9.9,3044,1,1,470,,,-37.7315,144.9399
Glen Iris,63 Aintree Rd,3,casa,,9.2,3146,1,2,470,,,-37.8541,145044
Williamstown,26 Collins St,3,casa,1270000,8,3016,1,2,470,,,-37.8587,144.8871
Preston,2 Jackman St,2,casa,,8.8,3072,1,3,471,,,-37.7458,145.0132
Northcote,72 James St,2,casa,,5.5,3070,1,1,471,,,-37.7757,145.0003
Yarraville,71 Bena St,2,casa,760000,7,3013,1,1,472,,,-37824,144.8805
Coburg North,47 Boyne St,3,casa,745000,9.2,3058,1,3,473,,,-37.7316,144.9789
Essendon West,57 Hampton Rd,3,casa,,9.8,3040,1,2,473,,,-37.7519,144883
Essendon West,57 Hampton Rd,3,casa,820000,9.8,3040,1,2,473,,,-37.7519,144883
Preston,12 Youngman St,2,casa,780000,8.8,3072,1,3,475,,,-37.7351,145.0066
Fitzroy North,179 Barkly St,3,casa,2300000,3.5,3068,1,2,475,,,-37.7786,144.9846
Sunshine North,69 Cumberland St,3,casa,650000,13.3,3020,1,2,476,,,-37769,144.8441
Essendon,10 Glen St,3,casa,1400000,8,3040,1,1,476,,,-37.74945,144.92061
Yarraville,98 Powell St,4,casa,,7,3013,1,2,476,,,-37.8201,144.8843
Essendon,2/44 Richardson St,3,casa,825000,8,3040,1,3,477,,,-37.7499,144.9127
Ripponlea,4/16 Hotham Gr,2,kitnet,660000,7.4,3185,1,0,477,,,-37.8804,144.9969
Hawthorn East,86 Lilydale Gr,2,casa,,7.5,3123,1,1,478,,,-37.8239,145.0516
Prahran,4/38 Porter St,2,kitnet,570000,4.5,3181,1,1,479,,,-37.84994,144.98743
Reservoir,657 Gilbert Rd,3,casa,777000,11.2,3073,1,2,480,,,-37.7265,144.9918
Coburg,15 Bishop St,3,casa,940500,7.8,3058,1,3,480,,,-37.7348,144.95093
Brunswick,38 Stewart St,3,casa,1317000,5.2,3056,1,1,480,,,-37.7639,144966
Fairfield,46 Perry St,3,casa,,5.8,3078,1,1,480,,,-37.7778,145.0236
Newport,21 Junction St,2,casa,,8.4,3015,1,2,480,,,-37.8358,144.8803
Newport,1 Elphin St,2,casa,1070000,8.4,3015,1,3,480,,,-37.84807,144.89027
Preston,68 Erin St,3,casa,,8.8,3072,1,1,481,,,-37.7447,144.9927
Footscray,16 Southampton St,3,casa,1320000,6.4,3011,1,1,482,,,-37.79508,144.90065
Newport,21 Junction St,2,casa,1215000,8.4,3015,1,2,482,,,-37.83389,144.89236
Coburg,50a Rennie St,2,casa,860000,7.8,3058,1,1,483,,,-37.7509,144.9696
Sunshine,75 Cornwall Rd,3,casa,750000,12.6,3020,1,1,483,,,-37.7866,144841
Preston,26 Lovelace St,2,casa,771000,8.8,3072,1,1,484,,,-37.7427,145.0176
Newport,12 Durkin St,3,casa,1200000,8.4,3015,1,0,484,,,-37.84567,144.89085
Preston,6 Carlisle St,3,casa,980000,8.8,3072,1,1,485,,,-37.7525,145.0106
Maidstone,14 Suffolk St,3,casa,935000,9.2,3012,1,2,485,,,-37.7905,144.8812
Sunshine,10 Yewers St,3,casa,692000,12.6,3020,1,1,485,,,-37.79542,144.83825
Pascoe Vale,68 Kent Rd,3,casa,,9.9,3044,1,2,486,,,-37.7203,144.9433
Preston,60 Cramer St,3,casa,910000,8.8,3072,1,1,486,,,-37.7395,144.9966
Yarraville,42 Eirene St,2,casa,951000,7,3013,1,3,486,,,-37.8214,144.8796
Ripponlea,7/1 Hotham Gr,1,kitnet,327000,7.4,3185,1,1,486,,,-37.8797,144.9954
Reservoir,5 Queen St,2,casa,931000,11.2,3073,1,1,487,,,-37.7279,145.0136
Sunshine,8 High St,3,casa,607500,12.6,3020,1,2,487,,,-37.7883,144.8439
Pascoe Vale,147 Derby St,3,casa,806000,9.9,3044,1,1,488,,,-37.72778,144.95059
Heidelberg West,330 Liberty Pde,3,casa,687000,9.4,3081,1,2,489,,,-37.73637,145.04513
Pascoe Vale,249 Sussex St,3,casa,600000,9.9,3044,1,3,490,,,-37.7195,144.9513
Preston,46 Dunstan St,2,casa,835000,8.8,3072,1,1,490,,,-37.7311,144.9863
Sunshine,13 Union St,3,casa,735000,12.6,3020,1,1,490,,,-37.7892,144.8432
Sunshine,7 Union St,4,casa,590000,12.6,3020,1,1,490,,,-37.7893,144.8437
Surrey Hills,999A Riversdale Rd,3,casa,1205000,11.2,3127,1,2,490,,,-37.8361,145.1006
Brighton East,24 Moore St,3,casa,1405000,10.7,3187,1,1,490,,,-37.9024,145.0097
Reservoir,10 Zinnia St,3,casa,502500,11.2,3073,1,2,491,,,-37.7152,144.9823
Thornbury,92 Speight St,2,casa,970000,6.5,3071,1,3,491,,,-37.7633,145.0169
Reservoir,15 Glenvale Rd,3,casa,610000,11.2,3073,1,2,492,,,-37.7205,144.9872
Maidstone,38 Suffolk St,3,casa,930000,9.2,3012,1,2,492,,,-37.7909,144.8777
Newport,9 Blackshaws Rd,3,casa,,8.4,3015,1,2,493,,,-37.8349,144.8808
Preston,125 Albert St,4,casa,770000,8.8,3072,1,1,494,,,-37.7457,145.00219
Sunshine,22 Lynch St,3,casa,711000,12.6,3020,1,2,494,,,-37.7794,144.8347
Yarraville,18 Tenterden St,3,casa,845000,7,3013,1,2,494,,,-37.8234,144.8742
West Footscray,39 Blandford St,3,casa,991000,8.2,3012,1,4,495,,,-37.7958,144.8774
Hampton,73 Linacre Rd,3,casa,1403000,13.7,3188,1,2,495,,,-37.9428,145.0092
Reservoir,5 Zinnia St,3,casa,540000,11.2,3073,1,2,496,,,-37.7156,144.9825
Reservoir,40 Powell St,3,casa,832000,11.2,3073,1,2,496,,,-37.7263,145.0003
Reservoir,43 Barry St,3,casa,685000,11.2,3073,1,1,497,,,-37.7096,145.0036
Preston,30 Okeefe St,3,casa,888500,8.8,3072,1,2,497,,,-37.7441,145.0154
Thornbury,279 Mansfield St,2,casa,900000,6.5,3071,1,1,497,,,-37.7585,145.0226
Northcote,124a Victoria Rd,3,casa,990000,5.5,3070,1,2,497,,,-37.7739,145.0114
Albion,28 Selwyn St,2,casa,541000,13.9,3020,1,1,497,,,-37.7806,144.8159
Sunshine,127 Duke St,3,casa,655000,12.6,3020,1,1,497,,,-37.7809,144.8467
Coburg North,24 Newlands Rd,4,casa,820000,9.2,3058,1,3,498,,,-37.7329,144.9721
Preston,10 May St,4,casa,931000,8.8,3072,1,1,499,,,-37733,144.9988
Sunshine,7 Barnett St,3,casa,675000,12.6,3020,1,1,500,,,-37.7821,144.8456
Camberwell,22 Spencer Rd,4,casa,1855000,7.8,3124,1,1,500,,,-37.83042,145.07089
Armadale,17 Egerton Rd,4,casa,,6.3,3143,1,2,500,,,-37.8623,145.0223
Malvern East,1 Deakin St,2,casa,,11.2,3145,1,2,500,,,-37.8645,145041
Brunswick West,468 Moreland Rd,3,casa,920000,5.9,3055,1,2,501,,,-37753,144.9421
Northcote,13 Vauxhall Rd,3,casa,1610000,5.5,3070,1,2,501,,,-37.7771,145.0116
Newport,87 Elizabeth St,3,casa,1002500,8.4,3015,1,2,501,,,-37.8356,144.8785
Essendon,9a Ballater St,2,kitnet,800000,8,3040,1,2,502,,,-37.7498,144.9048
Thornbury,140 Dundas St,2,casa,915000,6.5,3071,1,1,502,,,-37.76187,145.01999
Moonee Ponds,54 Ngarveno St,3,casa,1111000,6.9,3039,1,2,502,,,-37.7693,144.9299
Reservoir,16 Kinsale St,3,casa,665000,11.2,3073,1,4,503,,,-37.7226,144.9953
Essendon,37 William St,3,casa,1240000,8,3040,1,1,503,,,-37.7456,144.9059
Essendon,108 Ogilvie St,3,casa,980000,8,3040,1,3,503,,,-37.7463,144.8934
Yarraville,60 Adeney St,3,casa,960000,7,3013,1,1,503,,,-37.8159,144.8626
Brunswick West,1 Culloden St,3,casa,995000,5.9,3055,1,2,505,,,-37757,144.9446
Pascoe Vale,8 Wicklow St,3,casa,767000,9.9,3044,1,1,505,,,-37.7187,144.9432
Heidelberg Heights,4 Collins St,3,casa,720000,10.5,3081,1,0,505,,,-37.7375,145.0555
Bentleigh,98 Tucker Rd,3,casa,,13,3204,1,3,505,,,-37.9256,145.0501
Newport,50 Home Rd,3,casa,1199000,8.4,3015,1,3,506,,,-37841,144.8878
Pascoe Vale,6 Wicklow St,3,casa,800000,9.9,3044,1,2,506,,,-37.71805,144.94236
Pascoe Vale,2 Longview St,3,casa,690000,9.9,3044,1,1,507,,,-37.7253,144.9324
Airport West,49 Roberts Rd,4,casa,765000,13.5,3042,1,2,509,,,-37.7261,144.8785
Elwood,5/39 Shelley St,2,kitnet,680000,7.7,3184,1,1,510,,,-37881,144.9837
Sunshine,7 Donald St,3,casa,762500,12.6,3020,1,1,510,,,-37.7903,144.8387
Balwyn North,8 Kalonga Rd,4,casa,,9.2,3104,1,2,510,,,-37.8032,145.1007
West Footscray,120 Cross St,4,casa,850000,8.2,3012,1,3,511,,,-37.8001,144877
Brunswick West,915 Park St,3,casa,1172000,5.9,3055,1,2,512,,,-37.7758,144.9435
Sunshine West,38a Mailey St,3,casa,545000,13.5,3020,1,2,512,,,-37.7913,144.8122
Camberwell,4/24 Seville St,2,kitnet,771000,7.8,3124,1,1,512,,,-37.84336,145.06753
Reservoir,46 Bourke St,3,casa,705000,11.2,3073,1,3,513,,,-37.7243,144.9883
Preston,4 Devon St,3,casa,1045000,8.8,3072,1,2,513,,,-37.74236,145.0033
Caulfield North,14 Arthur St,3,casa,1365000,8.1,3161,1,0,513,,,-37.8678,145027
Ormond,32a Bewdley St,2,casa,1250000,11.8,3204,1,1,516,,,-37906,145.0497
Preston,122 Tyler St,3,casa,800000,8.8,3072,1,2,516,,,-37.7321,145.0248
North Melbourne,90 Molesworth St,3,casa,1635000,2.3,3051,1,0,517,,,-37.7967,144.9472
Reservoir,12 Kinkora Rd,3,casa,885000,11.2,3073,1,2,518,,,-37.7303,145.0171
Preston,376 Plenty Rd,3,casa,930000,8.8,3072,1,2,518,,,-37.7418,145.0095
Prahran,1/17 Clarke St,1,kitnet,,4.5,3181,1,1,518,,,-37.8488,144.9996
Kew,27 Earl St,3,casa,1410000,5.6,3101,1,1,519,,,-37796,145.0377
Preston,42 Kathleen St,3,casa,810000,8.8,3072,1,1,520,,,-37.7362,145.0232
Coburg,59 Moore St,2,casa,1130000,7.8,3058,1,2,520,,,-37.7543,144.9717
Thornbury,6 Boyd St,3,casa,,6.5,3071,1,1,520,,,-37.75542,144.98851
Northcote,4 Wilmoth St,3,casa,1335000,5.5,3070,1,3,520,,,-37.7683,145.0156
Sunshine West,268 Wright St,4,casa,601000,13.5,3020,1,4,520,,,-37.7942,144.8112
West Footscray,85 Stanhope St,2,casa,,8.2,3012,1,3,520,,,-37.79546,144.88182
Kew,23 Gellibrand St,4,casa,2117000,5.6,3101,1,2,520,,,-37.8082,145.0323
Caulfield South,5 Sycamore St,3,casa,1570000,9.3,3162,1,2,520,,,-37.8889,145.0151
Preston,6 Emerald St,2,casa,775000,8.8,3072,1,1,521,,,-37.7441,145.0183
Sunshine,8 Couch St,4,casa,691000,12.6,3020,1,1,521,,,-37.7953,144.8332
Preston,3 Parker St,3,casa,916000,8.8,3072,1,3,523,,,-37.7314,145.0017
Brunswick West,16 Coronation St,3,casa,1270000,5.9,3055,1,1,526,,,-37.77353,144.94451
Caulfield South,23 Leopold St,3,casa,,9.3,3162,1,2,527,,,-37901,145034
Coburg,196 Ohea St,3,casa,1061000,7.8,3058,1,1,527,,,-37.7359,144.9502
Preston,99 Murray Rd,3,casa,900000,8.8,3072,1,1,527,,,-37.7396,145.0174
Maidstone,16 Lindenow St,3,casa,893000,9.2,3012,1,3,528,,,-37779,144.8829
Aberfeldie,25 Valencia St,2,casa,1300000,9.1,3040,1,5,528,,,-37.7617,144.8987
Newport,296 Douglas Pde,3,casa,,8.4,3015,1,2,528,,,-37.84969,144.88681
Avondale Heights,31 Duke St,3,casa,750000,10.5,3034,1,1,529,,,-37.7721,144.8576
Newport,2 Jubilee St,3,casa,,8.4,3015,1,4,529,,,-37.8473,144.8719
Yallambie,11 Tarcoola Dr,4,casa,700000,15,3085,1,1,530,,,-37.7251,145.1053
Fairfield,197 Wingrove St,3,casa,1125000,5.8,3078,1,2,530,,,-37.7788,145.0203
Altona,11 Keeshan Ct,3,casa,683500,13.8,3018,1,1,530,,,-37.8594,144817
Oakleigh South,13 Farm Rd,3,casa,937500,14.7,3167,1,2,530,,,-37.9245,145.0937
Oakleigh South,21 Hardy Ct,3,casa,995000,14.7,3167,1,1,530,,,-37.9248,145.1067
Fawkner,3 Penn Ct,3,casa,605000,12.4,3060,1,2,531,,,-37.7022,144.9669
Pascoe Vale,4 Dixon St,2,casa,750000,9.9,3044,1,2,531,,,-37.72149,144.92545
Strathmore,221 Mascoma St,3,casa,900000,9.7,3041,1,2,531,,,-37.72668,
Newport,193 Mason St,3,casa,910000,8.4,3015,1,2,531,,,-37.8409,144.8663
Essendon,41 Raleigh St,3,casa,,8,3040,1,2,532,,,-37.75356,144.91246
Sunshine North,4 Garnet St,3,casa,670000,13.3,3020,1,2,532,,,-37.7749,144.8313
West Footscray,1 Buxton St,3,casa,1061000,8.2,3012,1,1,533,,,-37.7955,144.8784
Ormond,55 Carlyon St,2,casa,981000,11.8,3204,1,1,533,,,-37.9048,145.0418
Sunshine West,46 Dalton St,3,casa,593000,13.5,3020,1,1,534,,,-37796,144.8108
Kealba,16 Driscolls Rd,3,casa,461000,15,3021,1,0,534,,,-37.7294,144.8216
Albion,13 Gunnedah St,3,casa,760000,13.9,3020,1,2,534,,,-37.7789,144.8209
Sunshine,3 Colin St,3,casa,725000,12.6,3020,1,3,534,,,-37.7801,144.8412
Campbellfield,4 Susan Ct,3,casa,,14.5,3061,1,4,534,,,-37.80473,144.94867
Balwyn,12 Power St,3,casa,1670000,9.7,3103,1,1,534,,,-37.80565,145.07361
Campbellfield,33 Rainsford Tce,3,casa,445000,14.5,3061,1,2,534,,,-37.80742,144.94476
Altona North,68 Chambers Rd,3,casa,750000,11.1,3025,1,2,534,,,-37.83671,144.84253
